cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Adamantina;3500105;753020;95;22266;5415;33843;2390;2676;2617;19;7683;23
Adolfo;3500204;67123;81;1737;315;3524;255;272;269;17;796;4
Aguaí;3500303;619843;57;16229;4558;33181;2764;2937;3021;13;8723;63
Águas da Prata;3500402;104041;45;3724;765;7651;544;601;586;19;1732;27
Águas de Lindóia;3500501;299599;60;10242;2946;17610;1324;1341;1413;16;4077;7
Águas de Santa Bárbara;3500550;121546;65;2947;443;5700;479;429;415;16;1323;48
Águas de São Pedro;3500600;86655;129;2101;277;2834;201;195;179;25;575;5
Agudos;3500709;1880838;74;16089;3791;35022;2996;3051;3004;12;9051;48
Alambari;3500758;64864;74;1672;489;5150;466;452;467;12;1386;46
Alfredo Marcondes;3500808;53678;71;1809;340;3905;273;306;287;21;866;11
Altair;3500907;89780;63;1188;117;3883;326;338;360;12;1024;17
Altinópolis;3501004;306747;67;7685;681;15581;1274;1263;1269;16;3806;48
Alto Alegre;3501103;74194;67;2015;381;4081;280;311;326;21;917;23
Alumínio;3501152;1601243;74;6107;841;17177;1487;1455;1491;10;4433;9
Álvares Florence;3501202;96972;70;1589;299;3812;262;256;242;23;759;20
Álvares Machado;3501301;314561;69;11243;3127;23566;1974;1998;1853;15;5825;35
Álvaro de Carvalho;3501400;36947;76;998;169;4763;297;535;756;10;1588;15
Alvinlândia;3501509;35027;62;1059;158;3055;273;248;236;14;757;3
Americana;3501608;9084739;93;149688;29994;217932;15516;17587;19277;14;52380;28
Américo Brasiliense;3501707;570593;74;19021;4424;36240;3127;3349;3527;9;10003;28
Américo de Campos;3501806;67507;84;2908;544;5720;427;426;426;19;1280;25
Amparo;3501905;3025036;85;44219;12828;67048;4909;5444;5884;15;16236;79
Analândia;3502002;115428;56;1854;251;4468;358;379;391;15;1128;24
Andradina;3502101;1836095;78;35653;11224;55594;4062;4339;4427;16;12828;100
Angatuba;3502200;656896;59;9753;2422;22886;1946;1953;1868;13;5768;102
Anhembi;3502309;100220;65;1717;187;5956;538;489;456;13;1484;63
Anhumas;3502408;52697;63;1449;269;3807;328;322;307;15;957;4
Aparecida;3502507;678021;71;18422;3874;35220;2781;3008;3028;13;8816;22
Aparecida d'Oeste;3502606;64153;69;2496;492;4352;331;314;272;21;916;14
Apiaí;3502705;559383;70;7829;2383;24917;2530;2118;1813;12;6461;109
Araçariguama;3502754;1286073;58;7562;1363;18266;1675;1705;1695;8;5075;25
Araçatuba;3502804;5376621;81;142817;52750;184468;13178;14089;15059;15;42326;69
Araçoiaba da Serra;3502903;415640;71;15537;3904;28812;2448;2378;2294;14;7120;34
Aramina;3503000;94137;55;2132;186;5262;413;448;452;15;1313;30
Arandu;3503109;72124;60;1856;394;6132;577;544;475;14;1595;13
Arapeí;3503158;22695;68;798;147;2481;219;204;181;15;603;13
Araraquara;3503208;6805273;85;149733;36376;215021;15377;17863;19302;15;52541;129
Araras;3503307;3912489;77;82493;24301;122556;9422;10449;11147;14;31018;63
Arco-Íris;3503356;32851;58;689;156;1886;145;151;137;19;433;
Arealva;3503406;130229;70;3223;723;7950;599;607;580;19;1786;31
Areias;3503505;29902;68;1073;208;3731;355;315;270;13;940;26
Areiópolis;3503604;96064;60;3881;478;10643;959;998;987;9;2944;12
Ariranha;3503703;478412;67;4748;596;8784;656;733;817;14;2205;5
Artur Nogueira;3503802;741917;63;28224;7211;46904;3904;4174;4512;11;12590;21
Arujá;3503901;2630145;84;44939;5963;79305;7122;7013;6993;9;21128;25
Aspásia;3503950;19979;71;846;182;1795;135;143;125;19;402;4
Assis;3504008;2182422;74;63879;19868;97061;7122;8132;8443;15;23697;88
Atibaia;3504107;4535623;87;90113;20855;130604;10445;10668;11028;14;32141;90
Auriflama;3504206;215532;73;8483;2103;14296;1081;1211;1148;17;3439;47
Avaí;3504305;181613;68;1422;223;5057;480;466;390;13;1336;29
Avanhandava;3504404;168590;54;4364;1133;11537;960;1368;1228;11;3555;21
Avaré;3504503;1700617;75;51002;12691;84366;6630;7219;7254;14;21103;109
Bady Bassitt;3504602;249754;71;9359;1679;15182;1203;1224;1251;13;3678;13
Balbinos;3504701;27586;113;548;82;3683;120;590;785;7;1495;12
Bálsamo;3504800;142066;72;4759;863;8279;578;616;650;18;1844;11
Bananal;3504909;140576;61;3211;483;10342;869;810;771;15;2449;81
Barão de Antonina;3505005;34989;75;815;179;3193;275;251;222;16;748;3
Barbosa;3505104;82671;53;2396;644;6794;610;582;538;14;1729;13
Bariri;3505203;782678;69;20432;4869;32340;2540;2586;2694;16;7820;34
Barra Bonita;3505302;1039622;85;24882;4833;35135;2523;2712;2834;15;8068;16
Barra do Chapéu;3505351;44173;68;1348;613;5324;536;441;396;12;1373;
Barra do Turvo;3505401;62325;60;1187;314;7691;782;607;491;15;1880;75
Barretos;3505500;3107891;73;75304;26215;114013;8547;9455;10013;15;28014;104
Barrinha;3505609;318275;64;11115;2807;29648;2606;2791;3003;8;8400;16
Barueri;3505708;38813092;104;143281;22195;247934;21465;21771;22885;8;66121;32
Bastos;3505807;586486;70;12088;3247;20340;1649;1653;1576;14;4878;20
Batatais;3505906;1338427;75;33879;6699;57643;4541;4850;4921;15;14312;82
Bauru;3506003;10040995;82;236646;50557;350357;26274;28723;30538;14;85536;138
Bebedouro;3506102;1919887;83;51090;16091;74829;5853;6064;6174;15;18091;96
Bento de Abreu;3506201;107726;65;1188;227;2757;224;222;237;13;683;28
Bernardino de Campos;3506300;147636;59;5511;811;10773;874;878;788;18;2541;24
Bertioga;3506359;1410546;72;17416;5364;52279;4624;4541;4735;8;13900;83
Bilac;3506409;120043;61;4298;1099;7293;545;592;617;17;1755;26
Birigui;3506508;2301253;78;80367;33194;112678;8380;9134;9707;14;27221;76
Biritiba-Mirim;3506607;470064;63;9356;1529;29680;2680;2612;2540;12;7832;
Boa Esperança do Sul;3506706;204423;55;5736;609;13924;1244;1212;1200;12;3657;44
Bocaina;3506805;318350;61;5749;983;11250;908;950;995;13;2853;26
Bofete;3506904;141439;52;3925;547;10058;886;816;749;16;2452;60
Boituva;3507001;2095279;76;31385;5113;51147;4142;4558;4955;11;13655;48
Bom Jesus dos Perdões;3507100;364317;62;11068;2576;21104;1815;1837;1915;11;5567;13
Bom Sucesso de Itararé;3507159;43481;72;1024;278;3649;405;338;276;9;1018;
Borá;3507209;63876;84;355;60;807;71;72;68;12;212;10
Boracéia;3507308;172314;64;2230;294;4416;381;400;385;14;1167;11
Borborema;3507407;265811;64;7888;1583;14788;1079;1182;1264;16;3524;55
Borebi;3507456;45604;70;794;148;2381;220;220;194;12;634;15
Botucatu;3507506;3593568;75;80198;15725;131707;10152;10812;11536;14;32500;154
Bragança Paulista;3507605;4097422;79;100895;28020;152268;12203;12786;13278;14;38266;101
Braúna;3507704;61271;65;2150;338;5186;394;436;472;17;1303;20
Brejo Alegre;3507753;151363;81;1138;159;2634;219;212;215;14;646;8
Brodowski;3507803;375142;55;11618;1808;22018;1888;1949;1897;13;5734;
Brotas;3507902;507669;68;12566;1890;22290;1858;1897;1894;14;5649;65
Buri;3508009;253003;50;6538;1516;18859;1790;1591;1448;11;4829;33
Buritama;3508108;401014;70;8521;2679;15789;1174;1271;1302;15;3747;26
Buritizal;3508207;134933;39;2270;397;4132;300;327;354;16;981;13
Cabrália Paulista;3508306;93122;113;1783;325;4341;396;377;338;13;1111;16
Cabreúva;3508405;2257685;77;21230;4338;43914;3963;4066;4170;9;12199;48
Caçapava;3508504;3337044;73;43949;9112;86845;6933;7116;7454;13;21503;71
Cachoeira Paulista;3508603;401843;75;12299;2664;30754;2433;2507;2589;14;7528;42
Caconde;3508702;219137;62;7825;1150;18626;1671;1517;1355;16;4544;19
Cafelândia;3508801;299697;74;7694;1397;16802;1335;1360;1352;16;4047;31
Caiabu;3508900;48244;77;1559;286;4085;330;353;324;16;1007;9
Caieiras;3509007;2583454;80;34895;5162;90692;7923;8019;8119;9;24061;24
Caiuá;3509106;64857;55;1370;335;5207;451;444;400;15;1295;18
Cajamar;3509205;7330483;77;29646;4375;68143;6044;6351;6685;8;19080;25
Cajati;3509254;941261;65;9805;3181;28464;2811;2393;2138;11;7342;42
Cajobi;3509304;103289;63;4296;511;9878;761;868;902;15;2530;12
Cajuru;3509403;388651;66;11642;1799;24056;2118;2146;2039;13;6302;57
Campina do Monte Alegre;3509452;90705;79;1849;380;5639;492;465;455;14;1411;15
Campinas;3509502;48656923;75;792448;114581;1111795;81342;91688;102712;13;275742;227
Campo Limpo Paulista;3509601;1411456;80;34893;7240;76733;6462;6739;6907;11;20108;12
Campos do Jordão;3509700;845340;67;26332;6197;48496;4337;4176;4039;10;12552;18
Campos Novos Paulista;3509809;95519;54;1593;353;4620;393;353;344;15;1090;14
Cananéia;3509908;514241;67;2568;765;12221;1162;978;856;14;2996;62
Canas;3509957;78548;58;1250;265;4589;416;412;409;10;1237;14
Cândido Mota;3510005;598565;77;15485;3432;29930;2367;2487;2432;15;7286;53
Cândido Rodrigues;3510104;58687;78;1474;215;2672;171;214;219;20;603;8
Canitar;3510153;108051;61;1283;175;4547;427;380;386;10;1193;9
Capão Bonito;3510203;582915;71;18651;5480;46163;4263;3898;3580;13;11741;120
Capela do Alto;3510302;194676;61;8374;2255;18397;1685;1678;1622;11;4984;46
Capivari;3510401;1410943;65;28957;5578;50257;4151;4438;4538;11;13126;54
Caraguatatuba;3510500;2205900;76;48303;14344;105573;8978;8874;8934;12;26786;56
Carapicuíba;3510609;3862899;74;154794;31080;377579;31645;31984;34294;9;97923;9
Cardoso;3510708;148440;68;5443;964;11782;867;906;900;18;2672;30
Casa Branca;3510807;496229;75;14710;3817;28657;2179;2498;2590;15;7266;93
Cássia dos Coqueiros;3510906;77256;73;1092;129;2587;224;209;183;17;615;7
Castilho;3511003;407096;60;6670;1683;18827;1588;1600;1503;14;4691;47
Catanduva;3511102;3089977;86;91356;27240;114256;8141;9011;9692;16;26843;56
Catiguá;3511201;97086;72;2983;441;7255;534;587;641;13;1762;29
Cedral;3511300;196836;60;4470;805;8240;580;622;665;18;1867;23
Cerqueira César;3511409;414634;78;8707;1462;18035;1541;1592;1475;14;4607;58
Cerquilho;3511508;1387438;73;24062;5073;41776;3257;3558;3890;13;10704;23
Cesário Lange;3511607;253797;67;8256;1807;16104;1282;1400;1540;13;4221;39
Charqueada;3511706;260460;64;7672;1158;15646;1324;1439;1465;12;4227;24
Chavantes;3557204;151983;55;4462;609;12147;1021;953;938;15;2911;16
Clementina;3511904;155990;67;3902;779;7458;570;744;819;11;2132;25
Colina;3512001;667155;69;9408;2486;17453;1398;1493;1528;14;4419;57
Colômbia;3512100;224603;75;2527;454;6012;525;535;515;12;1576;26
Conchal;3512209;430839;67;13245;2972;25850;2312;2428;2438;11;7177;35
Conchas;3512308;253294;71;8083;1380;16539;1302;1282;1282;15;3866;21
Cordeirópolis;3512407;1488016;66;13237;2455;22097;1757;1910;2045;12;5712;37
Coroados;3512506;104107;61;2174;514;5460;436;469;466;14;1370;16
Coronel Macedo;3512605;51758;64;1195;225;4941;442;389;349;15;1181;28
Corumbataí;3512704;87379;73;2198;366;3901;339;322;323;14;984;24
Cosmópolis;3512803;1040479;64;32955;7968;62606;5093;5542;5955;10;16591;24
Cosmorama;3512902;220499;72;4220;902;7146;489;494;547;21;1530;29
Cotia;3513009;8612050;83;111793;17132;215010;18432;18295;19184;9;55911;42
Cravinhos;3513108;803607;63;17790;3212;32525;2725;2832;2915;12;8472;51
Cristais Paulista;3513207;131147;71;2953;517;7847;666;697;694;13;2057;31
Cruzália;3513306;46754;75;1124;198;2223;171;174;162;16;506;7
Cruzeiro;3513405;1749797;79;33648;8254;77944;6245;6311;6384;14;18939;59
Cubatão;3513504;7693582;66;48425;10998;121852;10243;10568;11183;9;31994;71
Cunha;3513603;144399;60;8907;3100;21773;1971;1804;1570;15;5344;52
Descalvado;3513702;947808;70;19089;4326;31488;2407;2603;2760;15;7770;37
Diadema;3513801;12302667;84;170601;38657;391996;32715;34584;37139;9;104438;16
Dirce Reis;3513850;36447;74;747;206;1700;117;138;124;20;378;
Divinolândia;3513900;173494;67;6213;880;11099;860;910;861;17;2631;27
Dobrada;3514007;69694;63;2835;615;8226;718;776;846;10;2340;12
Dois Córregos;3514106;510823;65;13544;2524;25414;2000;2131;2224;14;6355;42
Dolcinópolis;3514205;27963;80;1242;206;2080;152;156;132;20;441;7
Dourado;3514304;243705;74;4400;604;8568;636;697;696;17;2029;27
Dracena;3514403;895040;81;29242;7699;43833;3031;3546;3555;18;10131;62
Duartina;3514502;161200;75;5928;1094;12171;908;965;927;18;2800;47
Dumont;3514601;138169;63;3562;442;8615;712;809;888;11;2410;14
Echaporã;3514700;96950;70;2272;302;6286;538;518;473;17;1528;39
Eldorado;3514809;188929;68;3545;1118;14758;1576;1234;1023;13;3833;71
Elias Fausto;3514908;453836;68;5864;1330;16264;1399;1455;1533;11;4386;24
Elisiário;3514924;48780;74;1261;241;3239;241;276;306;15;823;
Embaúba;3514957;38361;71;1032;102;2414;165;186;213;16;563;
Embu das Artes;3515004;6010806;73;88063;18765;249487;22421;21968;22720;8;67109;23
Embu-Guaçu;3515103;784875;84;28994;4932;64337;5905;5537;5441;11;16882;41
Emilianópolis;3515129;41338;58;1236;304;3039;227;250;229;18;706;
Engenheiro Coelho;3515152;339377;86;7065;1894;17230;1510;1715;1956;8;5181;29
Espírito Santo do Pinhal;3515186;1035731;71;24093;5580;42131;3267;3388;3440;15;10095;51
Espírito Santo do Turvo;3515194;79013;70;1892;202;4406;390;410;399;11;1199;15
Estiva Gerbi;3557303;208016;72;5272;1351;10358;870;921;944;11;2735;5
Estrela do Norte;3515301;44129;73;874;87;2656;239;247;209;13;695;24
Estrela d'Oeste;3515202;353662;63;4960;1034;8177;567;613;663;17;1843;21
Euclides da Cunha Paulista;3515350;79686;72;3185;1000;9539;913;822;706;13;2442;35
Fartura;3515400;228835;76;6932;1209;15404;1259;1250;1209;16;3717;37
Fernando Prestes;3515608;113291;70;2966;404;5549;372;415;438;20;1226;21
Fernandópolis;3515509;1382223;83;47888;14936;65189;4684;5036;5191;17;14910;65
Fernão;3515657;31241;72;601;118;1587;124;122;125;17;371;
Ferraz de Vasconcelos;3515707;2456288;72;53003;7752;175619;16589;16344;16133;8;49066;
Flora Rica;3515806;27645;66;671;125;1695;150;133;110;21;392;12
Floreal;3515905;52751;69;1696;289;2958;198;217;205;23;620;18
Flórida Paulista;3516002;164302;62;5116;579;12601;915;1174;1295;15;3383;21
Florínia;3516101;74930;80;1105;244;2783;223;214;197;17;635;
Franca;3516200;6614144;81;212457;57847;326012;26750;27870;27996;13;82616;120
Francisco Morato;3516309;1096464;77;34306;7101;160125;15660;14932;14609;8;45201;2
Franco da Rocha;3516408;2048211;82;41048;7696;137804;12100;13625;13868;9;39593;43
Gabriel Monteiro;3516507;47573;52;1482;328;2704;175;191;206;19;572;3
Gália;3516606;92423;58;2699;483;6848;534;528;515;18;1577;46
Garça;3516705;844892;86;23539;6302;42909;3349;3444;3426;16;10219;56
Gastão Vidigal;3516804;45046;70;1816;394;4379;278;397;542;14;1217;11
Gavião Peixoto;3516853;85785;72;1492;138;4476;376;416;422;11;1215;10
General Salgado;3516903;231090;75;6098;973;10678;772;858;863;17;2492;34
Getulina;3517000;152704;61;3776;608;10783;817;962;1120;14;2899;21
Glicério;3517109;73756;51;1697;376;4623;389;359;341;15;1089;14
Guaiçara;3517208;140602;54;4403;1115;11059;928;969;987;12;2883;22
Guaimbê;3517307;56259;65;1850;234;5449;471;455;442;15;1368;11
Guaíra;3517406;1276831;75;22780;5594;37940;2900;2994;3240;13;9135;72
Guapiaçu;3517505;291839;51;9277;2221;18809;1384;1596;1724;14;4704;23
Guapiara;3517604;303195;75;4188;1115;17830;1746;1484;1230;13;4459;47
Guará;3517703;369483;53;7473;1320;20133;1709;1674;1689;12;5071;39
Guaraçaí;3517802;172174;58;4519;1029;8439;603;611;620;18;1833;19
Guaraci;3517901;214481;65;3901;694;10280;831;922;951;14;2704;19
Guarani d'Oeste;3518008;22711;60;841;195;1956;142;149;150;18;440;9
Guarantã;3518107;105531;49;2372;472;6423;571;548;544;13;1662;62
Guararapes;3518206;681523;76;17456;5214;31091;2304;2469;2555;16;7328;30
Guararema;3518305;1319806;79;13258;2549;26887;2362;2309;2293;12;6964;45
Guaratinguetá;3518404;3616781;78;58043;13486;114047;8912;9305;9376;14;27593;58
Guareí;3518503;176577;59;4249;1156;14903;1123;1637;1839;10;4599;15
Guariba;3518602;675025;67;16193;2820;36576;3082;3357;3607;10;10046;35
Guarujá;3518701;5866602;65;112250;46599;298203;25911;25362;25399;10;76671;38
Guarulhos;3518800;43283250;78;541793;77582;1260899;108714;110691;113779;9;333184;70
Guatapará;3518859;155983;72;2507;364;7106;622;609;590;13;1821;33
Guzolândia;3518909;49641;66;1704;229;4861;400;406;401;14;1207;19
Herculândia;3519006;163049;64;3664;645;8863;725;726;717;14;2168;46
Holambra;3519055;513162;86;7258;1537;12311;990;1046;1097;10;3133;11
Hortolândia;3519071;9064317;74;78296;14808;203794;17935;19755;19928;9;57618;22
Iacanga;3519105;275036;66;4825;871;10414;816;878;918;14;2611;44
Iacri;3519204;111594;59;2520;422;6380;471;500;496;17;1467;20
Iaras;3519253;81763;52;1259;236;6508;708;510;535;10;1753;28
Ibaté;3519303;522359;68;14187;2634;31953;2751;2989;3172;10;8912;17
Ibirá;3519402;159027;57;5218;974;11261;808;953;1048;16;2809;30
Ibirarema;3519501;145444;51;2674;589;6957;606;592;547;14;1745;15
Ibitinga;3519600;1049256;66;32852;9726;54849;4144;4730;5072;13;13945;84
Ibiúna;3519709;1075990;66;33261;7267;72766;6549;6143;6046;12;18738;42
Icém;3519808;134858;59;3558;540;7637;597;664;730;12;1991;58
Iepê;3519907;131682;74;3394;602;7711;628;621;580;16;1830;49
Igaraçu do Tietê;3520004;219232;60;10045;2151;23586;1912;2057;2082;11;6051;10
Igarapava;3520103;652952;69;11204;1503;28425;2140;2388;2586;14;7115;32
Igaratá;3520202;128334;81;4408;915;8975;776;719;691;14;2186;23
Iguape;3520301;1050789;70;7636;2147;28984;2544;2128;1874;16;6546;82
Ilha Comprida;3520426;1560831;55;3856;1171;9387;782;637;568;18;1986;
Ilha Solteira;3520442;424811;79;14970;4904;25309;1951;2062;1897;16;5911;49
Ilhabela;3520400;2479131;74;13231;5572;29839;2473;2594;2858;9;7925;43
Indaiatuba;3520509;9527731;76;149077;40259;215612;16931;18780;20384;11;56095;36
Indiana;3520608;46599;68;2461;489;4811;376;406;398;16;1179;17
Indiaporã;3520707;56232;72;2086;363;3884;259;286;290;20;836;
Inúbia Paulista;3520806;98136;74;1565;239;3711;292;302;312;15;907;9
Ipaussu;3520905;262185;102;4945;829;13907;1163;1171;1164;14;3497;30
Iperó;3521002;387147;58;7266;1547;30159;2629;3020;3120;9;8768;5
Ipeúna;3521101;346223;67;3124;492;6462;570;606;599;11;1775;35
Ipiguá;3521150;58795;73;1195;276;4700;363;387;382;16;1132;12
Iporanga;3521200;31081;66;727;172;4325;457;376;315;13;1148;39
Ipuã;3521309;261175;59;5857;1216;14666;1197;1299;1419;11;3915;33
Iracemápolis;3521408;553917;68;12751;2424;21178;1613;1834;2091;11;5538;27
Irapuã;3521507;89363;66;2955;446;7417;555;646;720;14;1921;19
Irapuru;3521606;70207;61;2624;398;7642;581;791;872;17;2244;21
Itaberá;3521705;261198;64;5653;1372;17757;1652;1462;1335;14;4448;129
Itaí;3521804;387869;59;10138;1492;24744;2015;2061;2167;11;6243;82
Itajobi;3521903;325412;67;8929;1661;14591;1014;1126;1167;19;3307;23
Itaju;3522000;54903;68;1160;141;3373;280;297;324;15;901;16
Itanhaém;3522109;1136392;73;31127;8682;90507;7757;7014;6549;16;21321;34
Itaóca;3522158;26348;81;622;230;3204;339;236;182;16;757;
Itapecerica da Serra;3522208;2663345;78;61158;11671;157677;14371;14563;14441;8;43375;53
Itapetininga;3522307;3235444;72;76219;22706;149042;12784;13530;13298;12;39611;171
Itapeva;3522406;1552970;75;46437;12265;88832;8323;7720;7221;11;23263;90
Itapevi;3522505;6988952;71;72148;15883;211379;20170;19578;19602;7;59350;31
Itapira;3522604;2434188;77;45949;14800;69579;5313;5762;5959;15;17034;70
Itapirapuã Paulista;3522653;24847;71;833;289;3955;417;341;293;12;1050;
Itápolis;3522703;1080913;69;26013;5085;40511;3026;3320;3461;16;9808;51
Itaporanga;3522802;139194;65;5596;1267;14580;1203;1101;1084;15;3388;33
Itapuí;3522901;388859;54;5350;1102;12664;1022;1105;1145;13;3271;13
Itapura;3523008;68671;56;1122;244;4523;393;398;366;14;1158;24
Itaquaquecetuba;3523107;4320719;68;87351;15965;335891;32698;31329;30453;7;94480;40
Itararé;3523206;596263;67;18594;4500;48200;4498;4190;3820;13;12508;69
Itariri;3523305;146838;45;3222;730;15995;1638;1404;1223;12;4264;28
Itatiba;3523404;4163189;74;67097;11897;106638;8210;9082;10036;12;27328;79
Itatinga;3523503;205194;51;6686;1190;18775;1698;1727;1697;10;5122;50
Itirapina;3523602;312410;60;6640;1326;16016;1291;2017;1878;11;5186;48
Itirapuã;3523701;60742;58;2089;341;6020;556;522;472;14;1550;14
Itobi;3523800;76163;50;3154;829;7565;613;668;682;14;1963;6
Itu;3523909;6211762;77;102301;22230;158924;12885;13483;14167;12;40535;124
Itupeva;3524006;2854726;72;25953;4652;49108;4027;4365;4846;9;13238;21
Ituverava;3524105;866857;73;21710;5592;39193;3057;3119;3270;15;9446;50
Jaborandi;3524204;108830;53;2764;812;6622;507;586;613;14;1706;14
Jaboticabal;3524303;1989387;79;47836;12811;72493;5481;5965;6269;15;17715;109
Jacareí;3524402;7892663;77;110368;19818;216418;17254;17237;17798;12;52290;127
Jaci;3524501;291411;69;3122;652;6056;478;522;582;11;1582;12
Jacupiranga;3524600;284360;62;6460;1615;17179;1632;1416;1249;13;4296;62
Jaguariúna;3524709;5033582;73;31836;8418;47795;3732;4140;4596;11;12468;30
Jales;3524808;925297;89;36769;12549;47102;3334;3533;3673;17;10540;70
Jambeiro;3524907;253795;60;1988;287;5634;477;485;491;13;1453;31
Jandira;3525003;2456708;68;44354;8896;112860;9991;10283;10948;8;31222;9
Jardinópolis;3525102;681421;62;18264;3794;39306;3336;3454;3471;12;10262;81
Jarinu;3525201;875799;79;13245;3011;25653;2211;2249;2274;12;6734;24
Jaú;3525300;3273346;72;88649;23331;136178;10165;11125;12099;14;33389;108
Jeriquara;3525409;58518;66;1170;162;3153;283;275;263;12;821;12
Joanópolis;3525508;135602;56;7432;2028;12051;906;1023;1032;16;2961;27
João Ramalho;3525607;110755;56;1425;247;4219;372;390;362;11;1123;13
José Bonifácio;3525706;841301;72;22369;6825;33733;2677;2949;3042;14;8668;82
Júlio Mesquita;3525805;36142;73;1229;128;4486;416;386;351;15;1153;11
Jumirim;3525854;58962;56;1322;164;2959;240;288;301;12;830;11
Jundiaí;3525904;30239652;90;275050;45751;382279;26645;29718;33561;14;89924;134
Junqueirópolis;3526001;374090;75;9709;2125;19123;1337;1665;1715;17;4717;14
Juquiá;3526100;234934;70;5614;1323;19057;1905;1485;1298;14;4687;68
Juquitiba;3526209;363062;74;11522;2051;29193;2782;2442;2280;11;7504;40
Lagoinha;3526308;42709;78;2831;1023;4828;421;385;316;19;1122;24
Laranjal Paulista;3526407;657350;59;13617;2458;26032;2035;2139;2252;15;6427;20
Lavínia;3526506;116774;71;2060;482;8666;435;1040;1575;10;3050;24
Lavrinhas;3526605;90842;62;2270;508;6762;630;589;586;10;1805;31
Leme;3526704;2086708;74;56726;17408;94552;7836;8468;8928;12;25233;22
Lençóis Paulista;3526803;1912196;76;37486;8295;62939;5158;5339;5613;12;16110;71
Limeira;3526902;9538001;82;178732;39125;282367;21803;23371;24936;13;70110;110
Lindóia;3527009;98651;48;3871;865;7043;546;579;605;14;1730;18
Lins;3527108;2693187;77;49207;13414;72626;5599;5787;6196;15;17582;63
Lorena;3527207;1606040;68;37436;9562;83782;6774;6978;7044;14;20796;36
Lourdes;3527256;29641;78;874;203;2148;157;167;167;18;492;
Louveira;3527306;7870072;65;21875;5371;40686;3182;3960;4665;8;11807;25
Lucélia;3527405;312818;57;9914;2166;20238;1489;1657;1742;16;4888;12
Lucianópolis;3527504;29623;76;876;107;2249;190;163;172;17;525;18
Luís Antônio;3527603;1029797;53;5226;624;12223;1160;1198;1208;8;3567;43
Luiziânia;3527702;50318;54;1640;382;5244;413;480;535;14;1428;6
Lupércio;3527801;44118;58;1460;254;4372;389;355;346;15;1089;20
Lutécia;3527900;59369;82;978;130;2682;218;223;212;16;653;19
Macatuba;3528007;308137;67;8291;1482;16465;1382;1387;1398;12;4168;21
Macaubal;3528106;118214;66;4164;844;7702;524;578;609;19;1711;8
Macedônia;3528205;52042;70;1568;361;3636;266;265;255;19;786;22
Magda;3528304;64332;72;1768;207;3167;222;230;228;20;680;13
