cidade;ibge;pib;mat1517;veiculos;motos;populacao;pop1519;pop2024;pop2529;pop60p;jovem;rodovia
Paraguaçu Paulista;3535507;859178;81;23299;6174;42857;3479;3601;3743;14;10823;121
Paraibuna;3535606;232074;56;7749;1646;17639;1541;1510;1396;14;4448;85
Paraíso;3535705;163874;68;3319;357;6017;464;473;518;15;1455;14
Paranapanema;3535804;321928;65;7434;1182;18433;1719;1585;1537;11;4841;88
Paranapuã;3535903;54354;64;1963;423;3841;313;292;274;17;879;7
Parapuã;3536000;226395;62;4722;867;10736;801;833;806;18;2440;52
Pardinho;3536109;179472;66;2990;389;5819;516;499;458;13;1472;25
Pariquera-Açu;3536208;339089;76;6825;2095;18689;1718;1559;1457;13;4733;55
Parisi;3536257;26441;78;1047;282;2041;138;155;171;18;464;
Patrocínio Paulista;3536307;544165;61;5527;782;13440;1130;1157;1122;13;3409;16
Paulicéia;3536406;172574;66;3665;954;6583;580;585;568;12;1733;7
Paulínia;3536505;11609645;70;60402;9371;89534;7056;7654;8234;9;22944;30
Paulistânia;3536570;23102;64;548;92;1778;153;142;138;16;433;31
Paulo de Faria;3536604;164186;63;3086;362;8559;694;706;716;15;2117;39
Pederneiras;3536703;1638290;69;24917;7169;42734;3733;3748;3666;12;11147;66
Pedra Bela;3536802;53593;62;2942;840;5838;487;467;454;16;1409;11
Pedranópolis;3536901;37929;67;1373;332;2511;172;164;170;20;506;8
Pedregulho;3537008;645001;61;7097;1075;15877;1338;1412;1387;13;4136;49
Pedreira;3537107;897182;71;27882;10812;43131;3239;3631;4003;13;10873;13
Pedrinhas Paulista;3537156;62252;65;1696;319;2962;247;242;221;15;710;12
Pedro de Toledo;3537206;105045;55;2406;545;10422;979;808;702;15;2489;11
Penápolis;3537305;1112729;75;40662;14415;59231;4470;4668;4711;16;13849;91
Pereira Barreto;3537404;487046;69;13046;3755;25103;1982;2038;1901;16;5921;91
Pereiras;3537503;120526;56;3238;587;7752;631;670;688;15;1990;29
Peruíbe;3537602;1073576;79;26180;7311;61652;5361;4707;4295;16;14363;15
Piacatu;3537701;67509;69;2286;492;5470;438;482;467;16;1387;9
Piedade;3537800;822308;71;26245;7379;52518;4586;4348;4206;14;13140;92
Pilar do Sul;3537909;343648;71;15980;3888;26956;2412;2345;2198;13;6956;65
Pindamonhangaba;3538006;5087052;71;72895;16636;152218;12867;12989;13487;11;39343;90
Pindorama;3538105;236097;52;6796;1406;15446;1118;1265;1376;16;3760;20
Pinhalzinho;3538204;174328;60;6749;1355;13607;1089;1113;1098;17;3300;21
Piquerobi;3538303;45270;60;1297;254;3535;281;289;261;17;830;22
Piquete;3538501;113299;58;4895;954;13945;1087;1138;1057;16;3282;25
Piracaia;3538600;323968;68;13869;4057;25455;2149;2086;2016;14;6251;35
Piracicaba;3538709;17124369;81;256644;52196;372518;28330;30291;33211;14;91833;174
Piraju;3538808;466498;73;15689;3307;28525;2297;2282;2192;16;6771;97
Pirajuí;3538907;272007;77;9706;2251;22930;1639;2465;2492;14;6596;72
Pirangi;3539004;165365;81;6127;963;10692;784;833;889;17;2505;37
Pirapora do Bom Jesus;3539103;404590;56;5414;1234;16615;1682;1542;1451;8;4675;18
Pirapozinho;3539202;556284;74;12199;3169;25445;2119;2203;2086;14;6408;53
Pirassununga;3539301;1895599;76;47830;11913;71215;5391;5668;5999;15;17058;96
Piratininga;3539400;134571;74;6395;1045;12413;960;964;1032;16;2956;47
Pitangueiras;3539509;682582;67;15940;4282;36288;3198;3265;3401;10;9864;34
Planalto;3539608;183817;64;1991;418;4679;362;399;415;11;1176;5
Platina;3539707;55250;65;1080;241;3283;272;253;250;14;775;9
Poá;3539806;3997500;97;42015;6363;108963;9505;9417;9530;10;28452;7
Poloni;3539905;97642;70;2981;447;5477;361;451;507;19;1319;23
Pompéia;3540002;926756;75;10943;2256;20366;1538;1579;1737;15;4855;15
Pongaí;3540101;49737;73;1816;216;3430;239;260;270;19;769;27
Pontal;3540200;771337;61;15773;3103;43178;3627;4203;4720;8;12549;16
Pontalinda;3540259;49327;56;1277;345;4203;329;379;403;13;1111;15
Pontes Gestal;3540309;129011;64;1378;176;2519;198;194;198;18;590;9
Populina;3540408;69973;74;1857;351;4150;310;319;304;19;933;17
Porangaba;3540507;110265;56;3518;656;8629;696;686;636;18;2018;45
Porto Feliz;3540606;1147838;78;26025;5612;49742;4073;4180;4355;13;12607;68
Porto Ferreira;3540705;1408584;66;33778;10332;52259;3959;4281;4527;14;12766;50
Potim;3540754;136658;45;4445;1441;19758;1614;2252;2470;8;6336;
Potirendaba;3540804;384098;65;9826;1878;15823;1074;1302;1448;16;3824;14
Pracinha;3540853;19456;63;488;108;2863;210;630;408;9;1248;
Pradópolis;3540903;511983;61;7576;1252;18488;1455;1701;1927;10;5083;36
Praia Grande;3541000;4353703;67;105104;32842;278799;22999;22596;23322;13;68917;38
Pratânia;3541059;79775;82;2176;263;4758;446;444;429;10;1319;33
Presidente Alves;3541109;53003;72;1595;272;4087;318;333;337;16;988;9
Presidente Bernardes;3541208;174193;68;6685;1415;13631;1017;1084;1046;19;3147;32
Presidente Epitácio;3541307;756881;74;22739;7673;41622;3407;3395;3368;13;10169;14
Presidente Prudente;3541406;5675014;78;139129;34367;211815;15794;17050;17568;15;50413;58
Presidente Venceslau;3541505;537921;77;22909;7105;37956;2735;2933;3108;16;8777;71
Promissão;3541604;1572945;68;19660;5405;36868;2973;3128;3095;14;9196;62
Quadra;3541653;69367;75;1060;320;3380;271;257;254;15;782;11
Quatá;3541703;317530;73;5793;898;13140;1094;1118;1084;13;3296;15
Queiroz;3541802;193015;72;790;131;2946;267;249;256;12;772;11
Queluz;3541901;154462;51;2919;612;11738;952;1014;1068;11;3034;45
Quintana;3542008;102158;72;2231;288;6154;485;511;531;15;1527;12
Rafard;3542107;219574;78;4832;963;8707;667;714;769;13;2150;24
Rancharia;3542206;767788;84;14538;3325;28803;2304;2343;2253;15;6900;139
Redenção da Serra;3542305;37926;65;1623;393;3858;342;291;254;16;887;24
Regente Feijó;3542404;483466;71;9182;1629;18798;1461;1498;1523;15;4481;55
Reginópolis;3542503;82038;45;2492;419;7273;693;1514;782;12;2989;14
Registro;3542602;1177764;87;26067;7834;54121;4821;4309;4094;13;13224;42
Restinga;3542701;116778;66;2404;643;6853;619;617;607;10;1843;32
Ribeira;3542800;27517;83;596;188;3312;307;249;205;17;760;22
Ribeirão Bonito;3542909;201087;65;5521;939;12375;1017;1067;1079;13;3163;21
Ribeirão Branco;3543006;257486;61;2935;1027;17978;1942;1596;1364;11;4902;52
Ribeirão Corrente;3543105;71300;74;1755;397;4391;399;385;377;12;1162;12
Ribeirão do Sul;3543204;73268;76;2082;478;4413;360;330;313;17;1004;13
Ribeirão dos Índios;3543238;28078;68;917;313;2171;166;144;149;20;459;
Ribeirão Grande;3543253;225780;78;2222;771;7448;667;610;587;14;1863;12
Ribeirão Pires;3543303;2243640;80;60832;6446;114984;8921;9352;10022;12;28295;59
Ribeirão Preto;3543402;22651276;76;455139;119507;629795;46359;53762;60319;14;160440;203
Rifaina;3543600;51490;72;1651;206;3444;264;256;257;16;776;9
Rincão;3543709;150944;73;4257;648;10433;896;875;867;13;2638;37
Rinópolis;3543808;143786;58;4916;868;9864;705;797;803;19;2304;25
Rio Claro;3543907;7121744;79;139672;46445;190843;14295;15561;16934;14;46790;65
Rio das Pedras;3544004;922370;61;16113;2846;31042;2525;2774;3080;10;8379;33
Rio Grande da Serra;3544103;462227;62;14330;2240;45716;4066;4056;4224;9;12346;5
