cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
Parisi;26441;78;1047;282;2041;0,067613915;0,075943165;0,083782;18;27;2
Patrocínio Paulista;544165;61;5527;782;13440;0,084077381;0,08608631;0,083482;13;16;4
Paulicéia;172574;66;3665;954;6583;0,088105727;0,088865259;0,086283;12;7;4
Paulínia;11609645;70;60402;9371;89534;0,078808051;0,085487078;0,091965;9;30;4
Paulistânia;23102;64;548;92;1778;0,086051744;0,079865017;0,077615;16;31;2
Paulo de Faria;164186;62;3086;362;8559;0,081084239;0,082486272;0,083655;14;39;4
Pederneiras;1638290;69;24917;7169;42734;0,087354331;0,08770534;0,085786;12;66;4
Pedra Bela;53593;62;2942;840;5838;0,083418979;0,079993148;0,077766;16;11;2
Pedranópolis;37929;67;1373;332;2511;0,068498606;0,065312624;0,067702;20;8;2
Pedregulho;645001;61;7097;1075;15877;0,084272848;0,088933678;0,087359;13;49;4
Pedreira;897182;71;27882;10812;43131;0,075096798;0,084185389;0,09281;13;13;4
Pedrinhas Paulista;62252;65;1696;319;2962;0,083389602;0,081701553;0,074612;15;12;2
Pedro de Toledo;105045;55;2406;545;10422;0,093935905;0,077528306;0,067358;15;11;2
Penápolis;1112729;75;40662;14415;59231;0,075467238;0,078810083;0,079536;16;91;3
Pereira Barreto;487046;69;13046;3755;25103;0,078954707;0,081185516;0,075728;16;91;3
Pereiras;120526;56;3238;587;7752;0,081398349;0,086429309;0,088751;15;29;4
Peruíbe;1073576;79;26180;7311;61652;0,086955817;0,076347888;0,069665;16;15;2
Piacatu;67509;69;2286;492;5470;0,080073126;0,088117002;0,085375;16;9;2
Piedade;822308;71;26245;7379;52518;0,087322442;0,082790662;0,080087;14;92;3
Pilar do Sul;343648;70;15980;3888;26956;0,089479151;0,086993619;0,08154;13;65;4
Pindamonhangaba;5087052;71;72895;16636;152218;0,084530082;0,085331564;0,088603;11;90;3
Pindorama;236097;52;6796;1406;15446;0,072381199;0,081898226;0,089085;16;20;2
Pinhalzinho;174328;60;6749;1355;13607;0,080032336;0,081796134;0,080694;17;21;2
Piquerobi;45270;60;1297;254;3535;0,079490806;0,08175389;0,073833;17;22;2
Piquete;113299;58;4895;954;13945;0,077949086;0,081606311;0,075798;16;25;2
Piracaia;323968;68;13869;4057;25455;0,084423492;0,081948537;0,079199;14;35;4
Piracicaba;17124369;81;256644;52196;372518;0,076050016;0,081314192;0,089153;14;174;3
Piraju;466498;73;15689;3307;28525;0,080525855;0,08;0,076845;16;97;3
Pirajuí;272007;77;9706;2251;22930;0,071478413;0,10750109;0,108679;14;72;3
Pirangi;165365;81;6127;963;10692;0,073325851;0,077908717;0,083146;17;37;2
Pirapora do Bom Jesus;404590;56;5414;1234;16615;0,101233825;0,092807704;0,087331;8;18;4
Pirapozinho;556284;74;12199;3169;25445;0,083277658;0,086578896;0,081981;14;53;4
Pirassununga;1895599;76;47830;11913;71215;0,075700344;0,079589974;0,084238;15;96;3
Piratininga;134571;74;6395;1045;12413;0,077338274;0,077660517;0,083139;16;47;2
Pitangueiras;682582;67;15940;4282;36288;0,088128307;0,089974647;0,093722;10;34;4
Planalto;183817;64;1991;418;4679;0,077366959;0,085274631;0,088694;11;5;4
Platina;55250;65;1080;241;3283;0,082851051;0,077063661;0,07615;14;9;2
Poá;3997500;97;42015;6363;108963;0,087231446;0,086423832;0,087461;10;7;4
Poloni;97642;70;2981;447;5477;0,065911996;0,082344349;0,092569;18;23;2
Pompéia;926756;75;10943;2256;20366;0,07551802;0,077531179;0,085289;15;15;2
Pongaí;49737;73;1816;216;3430;0,0696793;0,075801749;0,078717;19;27;2
Pontal;771337;60;15773;3103;43178;0,084001112;0,097341239;0,109315;8;16;4
Pontalinda;49327;56;1277;345;4203;0,078277421;0,090173685;0,095884;13;15;4
Pontes Gestal;129011;64;1378;176;2519;0,07860262;0,077014688;0,078603;18;9;2
Populina;69973;74;1857;351;4150;0,074698795;0,07686747;0,073253;19;17;2
Porangaba;110265;56;3518;656;8629;0,080658245;0,079499363;0,073705;18;45;2
Porto Feliz;1147838;78;26025;5612;49742;0,081882514;0,084033613;0,087552;13;68;3
Porto Ferreira;1408584;66;33778;10332;52259;0,075757286;0,081918904;0,086626;14;50;2
Potim;136658;45;4445;1441;19758;0,08168843;0,113979148;0,125013;8;27;4
Potirendaba;384098;65;9826;1878;15823;0,067875877;0,082285281;0,091512;16;14;2
Pracinha;19456;63;488;108;2863;0,073349633;0,2200489;0,142508;9;27;4
Pradópolis;511983;61;7576;1252;18488;0,078699697;0,092005625;0,10423;10;36;4
Praia Grande;4353703;67;105104;32842;278799;0,082493122;0,081047636;0,083652;13;38;4
Pratânia;79775;82;2176;263;4758;0,093736864;0,09331652;0,090164;10;33;4
Presidente Alves;53003;72;1595;272;4087;0,077807683;0,081477857;0,082457;16;9;2
Presidente Bernardes;174193;68;6685;1415;13631;0,074609346;0,079524613;0,076737;19;32;2
Presidente Epitácio;756881;74;22739;7673;41622;0,081855749;0,08156744;0,080919;13;14;4
Presidente Prudente;5675014;78;139129;34367;211815;0,074565069;0,080494771;0,08294;15;58;3
Presidente Venceslau;537921;77;22909;7105;37956;0,072057119;0,077273685;0,081884;16;71;3
Promissão;1572945;68;19660;5405;36868;0,080639037;0,084843224;0,083948;14;62;3
Quadra;69367;75;1060;320;3380;0,080177515;0,076035503;0,075148;15;11;2
Quatá;317530;73;5793;898;13140;0,08325723;0,085083714;0,082496;13;15;4
Queiroz;193015;72;790;131;2946;0,090631365;0,084521385;0,086897;12;11;4
Queluz;154462;51;2919;612;11738;0,081104106;0,086386096;0,090987;11;45;4
Quintana;102158;72;2231;288;6154;0,07881053;0,083035424;0,086285;15;12;2
Rafard;219574;78;4832;963;8707;0,07660503;0,082002986;0,08832;13;24;4
Rancharia;767788;84;14538;3325;28803;0,079991668;0,081345693;0,078221;15;139;3
Redenção da Serra;37926;65;1623;393;3858;0,088646967;0,075427683;0,065837;16;24;2
Regente Feijó;483466;71;9182;1629;18798;0,077721034;0,079689329;0,081019;15;55;2
Reginópolis;82038;45;2492;419;7273;0,095283927;0,208167194;0,107521;12;14;4
Registro;1177764;87;26067;7834;54121;0,089078177;0,079617893;0,075645;13;42;3
Restinga;116778;66;2404;643;6853;0,090325405;0,090033562;0,088574;10;32;4
Ribeira;27517;82;596;188;3312;0,092693237;0,075181159;0,061896;17;22;2
Ribeirão Bonito;201087;65;5521;939;12375;0,082181818;0,086222222;0,087192;13;21;4
Ribeirão Branco;257486;61;2935;1027;17978;0,108020914;0,08877517;0,075871;10;52;4
Ribeirão Corrente;71300;74;1755;397;4391;0,090867684;0,087679344;0,085857;12;12;4
Ribeirão do Sul;73268;76;2082;478;4413;0,081577158;0,074779062;0,070927;17;13;2
Ribeirão dos Índios;28078;68;917;313;2171;0,07646246;0,066328881;0,068632;20;27;2
Ribeirão Grande;225780;78;2222;771;7448;0,089554243;0,081901182;0,078813;13;12;4
Ribeirão Pires;2243640;80;60832;6446;114984;0,077584707;0,081333055;0,08716;12;59;3
Ribeirão Preto;22651276;76;455139;119507;629795;0,073609667;0,085364285;0,095776;14;203;3
Rifaina;51490;72;1651;206;3444;0,076655052;0,074332172;0,074623;16;9;2
Rincão;150944;73;4257;648;10433;0,085881338;0,083868494;0,083102;13;37;4
Rinópolis;143786;58;4916;868;9864;0,071472019;0,080798865;0,081407;19;25;2
Rio Claro;7121744;79;139672;46445;190843;0,074904503;0,081538228;0,088733;14;65;3
Rio das Pedras;922370;60;16113;2846;31042;0,081341408;0,089362799;0,09922;10;33;4
Rio Grande da Serra;462227;62;14330;2240;45716;0,088940415;0,088721673;0,092397;9;5;4
Riolândia;134230;72;2881;522;10821;0,07198965;0,096386656;0,116995;11;52;4
Riversul;39914;63;1740;554;6006;0,09024309;0,075757576;0,06377;17;30;2
Rosana;1030975;74;6865;1620;19234;0,096495789;0,086877405;0,074036;13;60;4
Roseira;208116;55;4276;913;9918;0,083182093;0,083887881;0,086913;11;11;4
Rubiácea;54936;72;977;219;2846;0,08151792;0,090302178;0,089951;13;9;4
Rubinéia;43109;82;1423;243;2904;0,073002755;0,072658402;0,068526;21;30;2
Sabino;85894;57;2348;643;5297;0,078723806;0,080422881;0,075326;18;8;2
Sagres;30057;64;766;150;2378;0,087047939;0,076955425;0,070227;17;6;2
Sales;80943;71;2361;372;5644;0,073352232;0,07654146;0,080085;17;26;2
Sales Oliveira;239856;58;5601;964;10868;0,078763342;0,085112256;0,086308;15;71;4
Salesópolis;150993;77;8801;1835;15984;0,087837838;0,082457457;0,076889;13;29;4
Salmourão;56851;63;1285;249;4902;0,085883313;0,084863321;0,076703;16;12;2
Saltinho;149047;73;4694;491;7323;0,072920934;0,081523966;0,089308;15;7;2
Salto;4463025;83;59653;12457;108463;0,081520887;0,08731088;0,090197;12;39;4
Salto de Pirapora;1143568;69;17577;3655;41384;0,087763387;0,086337715;0,084622;12;37;4
Salto Grande;162663;57;3012;668;8872;0,081943192;0,074954914;0,072701;16;35;2
Sandovalina;283994;68;1398;252;3851;0,093741885;0,086211374;0,07946;11;8;4
Santa Adélia;234184;62;9031;1337;14507;0,077617702;0,080168195;0,083959;15;33;2
Santa Albertina;119714;67;3123;727;5711;0,070565575;0,078445106;0,079146;20;19;2
Santa Bárbara d'Oeste;4436561;68;119415;31538;182751;0,07567674;0,085066566;0,090916;12;69;3
Santa Branca;228709;55;5289;855;13889;0,082367341;0,081071351;0,077687;14;23;2
Santa Clara d'Oeste;38931;67;934;192;2065;0,07748184;0,079903148;0,075061;19;10;2
Santa Cruz da Conceição;113113;66;2154;350;4106;0,078421822;0,07793473;0,083049;17;16;2
Santa Cruz da Esperança;29972;64;588;34;1991;0,091913611;0,085384229;0,079357;16;12;4
Santa Cruz das Palmeiras;336047;69;14598;2930;31086;0,081258444;0,090008364;0,096796;12;36;4
Santa Cruz do Rio Pardo;1235983;74;26659;6736;44566;0,079051295;0,079006417;0,079523;15;84;3
Santa Ernestina;63961;72;2421;361;5553;0,085179182;0,094723573;0,098685;11;15;4
Santa Fé do Sul;716432;84;19957;5416;29715;0,072589601;0,080161535;0,082214;18;30;2
Santa Gertrudes;1219937;68;12547;3444;22978;0,083253547;0,090477848;0,101488;9;23;4
Santa Isabel;1174903;81;22435;5254;51867;0,085179401;0,084504598;0,084929;12;42;4
Santa Lúcia;89302;70;3384;572;8346;0,088185957;0,089503954;0,09178;11;20;4
Santa Maria da Serra;116389;68;2987;312;5625;0,084266667;0,0944;0,097422;11;32;4
Santa Mercedes;47735;68;1147;209;2822;0,084337349;0,081856839;0,076187;16;14;2
Santa Rita do Passa Quatro;529504;66;15676;3015;26454;0,068609662;0,073523853;0,07549;20;85;2
Santa Rita d'Oeste;38661;81;1218;256;2503;0,066320416;0,072313224;0,068718;23;4;2
Santa Rosa de Viterbo;659909;74;12862;2039;24390;0,080852809;0,084624846;0,086183;15;38;2
Santa Salete;18610;81;849;170;1446;0,069847856;0,069847856;0,071231;21;8;2
Santana da Ponte Pensa;22335;84;869;138;1597;0,058234189;0,066374452;0,066374;25;9;2
Santana de Parnaíba;6326301;76;65015;9503;117640;0,089119347;0,089654879;0,089774;9;23;4
Santo Anastácio;278926;73;11138;3194;20347;0,079323733;0,078733966;0,073868;17;20;2
Santo André;23917939;85;467916;65268;681792;0,070993793;0,078557683;0,086355;15;17;3
Santo Antônio da Alegria;124301;63;2475;246;6405;0,079313037;0,085089774;0,086339;17;25;2
Santo Antônio de Posse;531792;57;11577;2764;21323;0,084275196;0,08685457;0,091075;12;26;4
Santo Antônio do Aracanguá;190520;67;3162;506;7823;0,081298735;0,083599642;0,0836;13;27;4
Santo Antônio do Jardim;101801;86;2946;427;5899;0,075097474;0,075266994;0,077979;16;12;2
Santo Antônio do Pinhal;68864;75;3190;746;6524;0,089822195;0,083231147;0,076793;13;48;4
Santo Expedito;24832;79;991;169;2854;0,079187106;0,080939033;0,070077;18;19;2
Santópolis do Aguapeí;50724;66;1440;226;4397;0,081191722;0,092108256;0,098021;13;23;4
Santos;16972840;78;259281;67768;421926;0,064276674;0,070308538;0,076454;20;57;2
São Bento do Sapucaí;135137;75;4399;996;10476;0,082569683;0,076555937;0,06911;16;26;2
São Bernardo do Campo;46137870;82;516196;69056;780617;0,076011668;0,082970266;0,090025;12;175;3
São Caetano do Sul;14537139;128;131446;12895;150014;0,059761089;0,068073646;0,077879;20;27;3
São Carlos;8273251;81;149735;30168;228526;0,073330825;0,081338666;0,089592;14;137;3
São Francisco;29657;65;1294;294;2759;0,076476984;0,073577383;0,065603;20;7;2
São João da Boa Vista;2164018;82;57202;14870;84834;0,072317703;0,077421788;0,082078;16;69;3
São João das Duas Pontes;27073;71;968;138;2537;0,085928262;0,074891604;0,069767;16;5;2
São João de Iracema;33029;69;735;159;1803;0,082085413;0,087077094;0,073766;17;27;2
São João do Pau d'Alho;33368;84;1093;182;2064;0,07751938;0,071705426;0,063953;23;4;2
São Joaquim da Barra;1183059;78;29754;9020;47691;0,075821434;0,082279675;0,089933;13;39;3
São José da Bela Vista;103588;59;2125;375;8495;0,090641554;0,088404944;0,08558;12;23;4
São José do Barreiro;37045;63;1124;216;4072;0,087180747;0,077111984;0,072937;14;67;2
São José do Rio Pardo;1349177;77;30504;5421;52307;0,076528954;0,08457759;0,084769;16;71;3
São José do Rio Preto;12709750;83;326586;88148;421097;0,068492533;0,079235901;0,088918;15;79;3
São José dos Campos;27433754;82;366479;54904;654833;0,079530201;0,084223;0,090692;11;90;3
São Lourenço da Serra;210659;73;6354;1006;14436;0,091576614;0,088805763;0,086104;11;18;4
São Luís do Paraitinga;112435;68;4442;1058;10443;0,084745763;0,08072393;0,072968;16;89;3
São Manuel;856783;76;22785;3687;38704;0,082058702;0,081800331;0,082498;14;94;3
São Miguel Arcanjo;438011;62;12321;2970;31589;0,091360917;0,08464972;0,079806;12;98;3
São Paulo;540295628;78;6955351;905753;11445451;0,074680325;0,080505696;0,089855;13;187;1
São Pedro;488878;59;19678;4157;32450;0,080708783;0,079352851;0,078213;17;51;2
São Pedro do Turvo;121134;62;2741;576;7240;0,08839779;0,081077348;0,076243;15;38;2
São Roque;1844376;71;38687;6574;81547;0,079353011;0,08097171;0,084761;14;56;3
São Sebastião;4654609;73;26448;7876;77969;0,085200528;0,086521566;0,091613;9;163;3
São Sebastião da Grama;193126;59;4698;693;12029;0,082384238;0,082384238;0,08122;15;18;2
São Simão;319440;77;6894;837;14488;0,079790171;0,083310326;0,083655;15;65;3
São Vicente;4074127;67;114089;44604;339972;0,081162566;0,082183239;0,085204;12;24;4
Sarapuí;111569;69;4391;1470;9345;0,08999465;0,084323167;0,081006;13;8;4
Sarutaiá;35293;59;1204;171;3627;0,087951475;0,084918666;0,074442;15;20;4
Sebastianópolis do Sul;221780;82;2446;407;3120;0,066987179;0,077884615;0,090064;17;5;2
Serra Azul;114334;67;3070;304;11541;0,075730006;0,109002686;0,112469;10;18;4
Serra Negra;477526;59;16491;4331;26729;0,07149538;0,074114258;0,076883;18;35;2
Serrana;537480;67;16919;3481;40572;0,087720595;0,093833185;0,09827;9;36;4
Sertãozinho;4096066;69;74993;22200;114008;0,078582205;0,087099151;0,095721;11;61;4
Sete Barras;212263;65;3948;1468;12827;0,094176347;0,079052;0,067982;14;92;3
Severínia;245154;57;6507;893;15991;0,086798824;0,092114314;0,096554;11;19;4
Silveiras;45342;58;2351;603;5913;0,087096229;0,0823609;0,082192;15;26;4
Socorro;541424;72;24154;8052;37361;0,07111694;0,076309521;0,079307;18;34;2
Sorocaba;26138709;87;389036;74909;608308;0,079742499;0,085530685;0,09158;12;109;3
Sud Mennucci;153259;74;3269;531;7527;0,080377308;0,083034409;0,08144;13;31;4
Sumaré;10764267;69;128036;24662;254235;0,082463076;0,088949201;0,096297;9;39;4
Suzanápolis;100994;67;1353;226;3561;0,081718618;0,085369278;0,080034;15;52;2
Suzano;8123405;88;101771;14191;270914;0,09054903;0,086787689;0,086389;10;55;3
Tabapuã;196465;64;6342;1169;11541;0,070271207;0,080755567;0,087687;16;5;2
Tabatinga;160282;66;7703;1140;15049;0,079739518;0,087381221;0,095488;12;23;4
Taboão da Serra;6470054;76;104173;20353;256239;0,08303576;0,085279758;0,092991;9;7;4
Taciba;91202;64;2253;461;5816;0,084766162;0,082530949;0,078061;14;55;4
Taguaí;148287;57;3410;437;11586;0,087692042;0,099775591;0,100293;11;15;4
Taiaçu;61008;64;2475;442;5937;0,085901971;0,087586323;0,084386;15;4;4
Taiúva;73588;55;2719;378;6096;0,07152231;0,100885827;0,100722;16;21;4
Tambaú;437810;66;11975;2360;22508;0,080504709;0,083392572;0,081615;15;30;2
Tanabi;565951;72;14045;3333;24408;0,070099967;0,077187807;0,084767;17;33;2
Tapiraí;101652;66;2569;454;7879;0,100266531;0,080086305;0,070821;13;38;4
Tapiratiba;209058;58;5161;634;12688;0,088114754;0,088430013;0,078184;14;40;4
Taquaral;23028;62;993;126;2729;0,079516306;0,082081348;0,081348;15;12;2
Taquaritinga;1016579;81;31937;6548;54112;0,077838557;0,080776907;0,082884;15;108;3
Taquarituba;344978;76;11189;2062;22582;0,085997697;0,084182092;0,080374;13;35;4
Taquarivaí;95722;102;1133;227;5321;0,101672618;0,095658711;0,089645;9;26;4
Tarabai;70223;66;2481;535;6802;0,088062335;0,089385475;0,085563;12;20;4
Tarumã;677954;68;5806;872;13465;0,082435945;0,08934274;0,090754;10;43;4
Tatuí;2937909;78;66457;22183;111134;0,084411611;0,085725341;0,08766;13;116;3
Taubaté;13902532;75;179910;46745;287514;0,078778773;0,083822005;0,088643;12;98;3
Tejupá;49337;63;1036;144;4760;0,093907563;0,081302521;0,07605;13;10;4
Teodoro Sampaio;413007;69;8697;2591;21705;0,088090302;0,084773094;0,083391;11;35;4
Terra Roxa;100017;68;3603;627;8690;0,080437284;0,085730725;0,088377;14;11;4
Tietê;1469234;80;22795;4580;38120;0,077360965;0,084916055;0,091107;14;77;3
Timburi;29371;68;944;109;2616;0,08295107;0,074541284;0,065749;18;18;2
Torre de Pedra;18016;71;966;168;2273;0,085789705;0,074351078;0,063792;18;27;2
Torrinha;142975;63;5869;711;9442;0,07646685;0,085681;0,085575;17;31;2
Trabiju;30090;75;597;54;1590;0,094968553;0,088679245;0,080503;14;5;4
Tremembé;507521;52;15231;3621;42583;0,078317638;0,096775709;0,101613;11;34;4
Três Fronteiras;71988;67;2816;721;5465;0,077401647;0,074656908;0,072644;20;36;2
Tuiuti;105934;66;2497;682;6126;0,072314724;0,078028077;0,081456;18;15;2
Tupã;1303523;85;44309;14149;63259;0,069413048;0,074139648;0,078155;18;30;2
Tupi Paulista;210674;83;7960;1764;14548;0,062757767;0,079873522;0,09424;19;46;2
Turiúba;32950;80;914;182;1927;0,066943435;0,074727556;0,069538;22;15;2
Turmalina;32828;66;929;120;1924;0,073804574;0,076923077;0,060811;23;26;2
Ubarana;268293;65;2240;401;5523;0,087633533;0,086003983;0,088901;11;23;4
Ubatuba;1251888;71;31375;11067;81784;0,090457791;0,085762496;0,083574;11;98;3
Ubirajara;48917;71;1795;345;4498;0,081591819;0,081147177;0,084704;15;6;2
Uchoa;220125;64;4896;1035;9539;0,07170563;0,081664745;0,083342;17;32;2
União Paulista;35069;63;879;178;1642;0,077953715;0,076735688;0,084653;15;7;2
Urânia;141314;62;5368;1179;8775;0,06951567;0,073618234;0,076923;19;27;2
Uru;21326;100;647;110;1235;0,068016194;0,076923077;0,08583;18;5;2
Urupês;214754;87;7832;1466;12855;0,07016725;0,077401789;0,082069;18;18;2
Valentim Gentil;255502;67;6479;1782;11564;0,076876513;0,087512971;0,093307;13;11;4
Valinhos;4646972;91;81536;11923;112978;0,071536051;0,079944768;0,087645;13;59;3
Valparaíso;591540;66;9066;1589;22993;0,073979037;0,090288349;0,111686;11;33;4
Vargem;77837;63;4486;894;9160;0,081659389;0,084061135;0,086135;16;17;2
Vargem Grande do Sul;606733;63;22530;5561;39955;0,078988862;0,080640721;0,082643;14;46;2
Vargem Grande Paulista;1246862;79;22593;3231;45904;0,084698501;0,084916347;0,08936;10;17;4
Várzea Paulista;2137000;62;52706;12468;111329;0,083814639;0,089976556;0,095689;9;4;4
Vera Cruz;100086;83;4792;945;10684;0,081055784;0,080962186;0,074878;17;23;2
Vinhedo;5915416;82;54128;9006;67915;0,072546566;0,08155783;0,093278;12;25;4
Viradouro;220791;68;9280;2348;17623;0,083186745;0,088463939;0,090336;14;21;4
Vista Alegre do Alto;248134;58;3934;588;7235;0,079060124;0,095784381;0,107809;12;10;4
Vitória Brasil;19749;57;741;176;1745;0,073925501;0,083667622;0,084814;17;12;2
Votorantim;2860760;66;54403;12828;112110;0,085193114;0,087235751;0,090893;11;28;4
Votuporanga;1978162;85;69173;24842;86903;0,07044636;0,080641635;0,08735;16;56;3
Zacarias;65101;67;1221;288;2406;0,071487947;0,074812968;0,086035;16;27;2
;2449148,075;69,69422777;36950,24337;7086,75039;65799,01872;0,081143383;0,08438862;0,084810245;14,08892356;37,3900156;
