cidade;pib;mat1517;veiculos;motos;populacao;taxa_pop1519;taxa_pop2024;taxa_pop2529;pop60p;rodovia;cluster
Fernandópolis;1382223;83;47888;14936;65189;0,071852613;0,077252297;0,07963;17;65;3
Fernão;31241;72;601;118;1587;0,078134846;0,076874606;0,078765;17;27;2
Ferraz de Vasconcelos;2456288;72;53003;7752;175619;0,094460167;0,093065101;0,091864;8;27;4
Flora Rica;27645;66;671;125;1695;0,088495575;0,078466077;0,064897;21;12;2
Floreal;52751;69;1696;289;2958;0,06693712;0,073360379;0,069304;23;18;2
Flórida Paulista;164302;62;5116;579;12601;0,072613285;0,093167209;0,10277;15;21;4
Florínia;74930;80;1105;244;2783;0,080129357;0,076895437;0,070787;17;27;2
Franca;6614144;81;212457;57847;326012;0,082052194;0,085487651;0,085874;13;120;3
Francisco Morato;1096464;77;34306;7101;160125;0,097798595;0,093252147;0,091235;8;2;4
Franco da Rocha;2048211;82;41048;7696;137804;0,087805869;0,098872311;0,100636;9;43;4
Gabriel Monteiro;47573;52;1482;328;2704;0,064718935;0,070636095;0,076183;19;3;2
Gália;92423;58;2699;483;6848;0,077978972;0,077102804;0,075204;18;46;2
Garça;844892;86;23539;6302;42909;0,078048894;0,080262882;0,079843;16;56;3
Gastão Vidigal;45046;70;1816;394;4379;0,063484814;0,090659968;0,123773;14;11;4
Gavião Peixoto;85785;72;1492;138;4476;0,084003575;0,092940125;0,094281;11;10;4
General Salgado;231090;75;6098;973;10678;0,072298183;0,080352126;0,08082;17;34;2
Getulina;152704;61;3776;608;10783;0,075767412;0,089214504;0,103867;14;21;4
Glicério;73756;51;1697;376;4623;0,084144495;0,077655202;0,073762;15;14;2
Guaiçara;140602;53;4403;1115;11059;0,083913555;0,087620942;0,089249;12;22;4
Guaimbê;56259;65;1850;234;5449;0,086437879;0,08350156;0,081116;15;11;4
Guaíra;1276831;75;22780;5594;37940;0,076436479;0,078914075;0,085398;13;72;3
Guapiaçu;291838;51;9277;2221;18809;0,073581796;0,084852996;0,091658;14;23;4
Guapiara;303195;75;4188;1115;17830;0,097924846;0,08323051;0,068985;13;47;4
Guará;369483;53;7473;1320;20133;0,084885511;0,083147072;0,083892;12;39;4
Guaraçaí;172174;58;4519;1029;8439;0,071453964;0,072401943;0,073468;18;19;2
Guaraci;214481;65;3901;694;10280;0,080836576;0,089688716;0,09251;13;19;4
Guarani d'Oeste;22711;60;841;195;1956;0,072597137;0,076175869;0,076687;18;9;2
Guarantã;105531;49;2372;472;6423;0,088899268;0,085318387;0,084696;13;62;4
Guararapes;681523;76;17456;5214;31091;0,074105046;0,079412049;0,082178;15;30;2
Guararema;1319806;79;13258;2549;26887;0,087849146;0,085877934;0,085283;12;45;4
Guaratinguetá;3616781;78;58043;13486;114047;0,078143222;0,081589169;0,082212;14;58;3
Guareí;176576;59;4249;1156;14903;0,075353956;0,109843656;0,123398;10;15;4
Guariba;675025;67;16193;2820;36576;0,084262905;0,091781496;0,098617;10;35;4
Guarujá;5866602;65;112250;46599;298203;0,086890474;0,085049446;0,085174;10;38;4
Guarulhos;43283250;78;541793;77582;1260899;0,086219435;0,087787364;0,090236;9;70;3
Guatapará;155983;72;2507;364;7106;0,087531663;0,085702223;0,083028;13;33;4
Guzolândia;49641;66;1704;229;4861;0,082287595;0,083521909;0,082493;14;19;4
Herculândia;163049;64;3664;645;8863;0,081800745;0,081913573;0,080898;14;46;4
Holambra;513162;86;7258;1537;12311;0,080415888;0,084964666;0,089107;10;11;4
Hortolândia;9064317;74;78296;14808;203794;0,088005535;0,096936122;0,097785;9;22;4
Iacanga;275036;66;4825;871;10414;0,078356059;0,084309583;0,088151;14;44;4
Iacri;111594;59;2520;422;6380;0,073824451;0,078369906;0,077743;17;20;2
Iaras;81763;52;1259;236;6508;0,108789183;0,078365089;0,082207;10;28;4
Ibaté;522359;68;14187;2634;31953;0,086095202;0,093543642;0,099271;10;17;4
Ibirá;159026;57;5218;974;11261;0,071752065;0,084628363;0,093065;16;30;2
Ibirarema;145444;51;2674;589;6957;0,087106511;0,08509415;0,078626;14;15;4
Ibitinga;1049256;66;32852;9726;54849;0,075552882;0,086236759;0,092472;13;84;3
Ibiúna;1075990;66;33261;7267;72766;0,090000825;0,084421296;0,083088;12;42;4
Icém;134858;59;3558;540;7637;0,078172057;0,086945136;0,095587;12;58;4
Iepê;131682;74;3394;602;7711;0,081442096;0,080534302;0,075217;16;49;2
Igaraçu do Tietê;219232;60;10045;2151;23586;0,081065039;0,087212753;0,088273;11;10;4
Igarapava;652952;69;11204;1503;28425;0,07528584;0,084010554;0,090976;14;32;4
Igaratá;128334;81;4408;915;8975;0,086462396;0,080111421;0,076992;14;23;2
Iguape;1050789;70;7636;2147;28984;0,087772564;0,073419818;0,064656;16;82;3
Ilha Comprida;1560831;55;3856;1171;9387;0,083306701;0,067859806;0,060509;18;27;2
Ilha Solteira;424811;79;14970;4904;25309;0,077087202;0,081472994;0,074954;16;49;2
Ilhabela;2479131;74;13231;5572;29839;0,082878113;0,086933208;0,095781;9;43;4
Indaiatuba;9527731;76;149077;40259;215612;0,078525314;0,087100903;0,09454;11;36;4
Indiana;46599;68;2461;489;4811;0,07815423;0,08438994;0,082727;16;17;2
Indiaporã;56231;72;2086;363;3884;0,066683831;0,073635427;0,074665;20;27;2
Inúbia Paulista;98136;73;1565;239;3711;0,078684991;0,081379682;0,084074;15;9;2
Ipaussu;262185;102;4945;829;13907;0,08362695;0,0842022;0,083699;14;30;3
Iperó;387147;58;7266;1547;30159;0,087171325;0,100135946;0,103452;9;5;4
Ipeúna;346223;67;3124;492;6462;0,088207985;0,093779016;0,092696;11;35;4
Ipiguá;58795;73;1195;276;4700;0,077234043;0,082340426;0,081277;16;12;2
Iporanga;31081;66;727;172;4325;0,10566474;0,086936416;0,072832;13;39;4
Ipuã;261175;59;5857;1216;14666;0,081617346;0,088572208;0,096754;11;33;4
Iracemápolis;553917;68;12751;2424;21178;0,076163944;0,086599301;0,098735;11;27;4
Irapuã;89363;66;2955;446;7417;0,074828098;0,087097209;0,097074;14;19;4
Irapuru;70207;61;2624;398;7642;0,076027218;0,103506935;0,114106;17;21;4
